X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,latitude,longitude,nearest_sensor_id,cluster_geo
355862.03,170942.32,1080,Long Ashton P&R Turning Circle Right,355862.03,170942.32,51.43526750753419,-2.635041770924966,104,2
355832.92,170935.460000001,1081,Long Ashton P&R Turning Circle Upper,355832.92,170935.46,51.43520355273273,-2.6354597119055168,104,2
355856.91,170904.109999999,1082,Long Ashton P&R Turning Circle Left,355856.91,170904.11,51.434923522129544,-2.635110666141035,104,2
355878.93,170862.539999999,1083,Long Ashton P&R Vehicle Entrance,355878.93,170862.54,51.43455143819749,-2.6347886923315222,104,2
355832.5,170800.109999999,1084,Long Ashton P&R Far Left Lower Corner,355832.5,170800.11,51.43398644547776,-2.6354488676313887,104,2
355768.88,170822.57,1085,Long Ashton P&R Upper/Far/Left,355768.88,170822.57,51.43418344236081,-2.6363669299644767,104,2
355731.55,170902.189999999,1086,Long Ashton P&R Upper Left,355731.55,170902.19,51.434896473082134,-2.6369139289755017,104,2
355781.27,170999.970000001,1087,Long Ashton P&R Upper Central,355781.27,170999.97,51.43577959982603,-2.6362108421139476,104,2
355886.17,171055.560000001,1088,Long Ashton P&R Upper/Right,355886.17,171055.56,51.4362876484056,-2.6347085878744276,104,2
355954.72,171048.289999999,1089,"Long Ashton P&R, Upper/Near/Right Corner",355954.72,171048.29,51.43622761146136,-2.633721452640442,104,2
355973.26,170949.92,1090,"Long Ashton P&R, Adjacent to Main Entrance",355973.26,170949.92,51.435344504502346,-2.6334424828380576,104,2
356841.18,172030.640000001,1091,Ashton Avenue Bridge South,356841.18,172030.64,51.445129217161366,-2.62108772497755,104,2
